dataentryid,id,partner,partnermentiontype,datecreated,servicetype,authordisplayname,message,contenttype,url,impressions,retweetcount,likecount,replycount,commentcount,viewcount,lovecount,sharecount,wowcount,hahacount,sadcount,angrycount,brandexposurevalue,logoaverageclarity,logoaveragesize,logototalseconds,logoimpressions,engagement,sentiment,vodviews,tags,alllogos,textmention
1707,677513009,Arizona Coyotes,TextMention,3/22/21 21:48,Twitter,Arizona Coyotes,,Text,,17125,18,150,5,,,,,,,,,0,,,,,690,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1706,-774991735,Arizona Coyotes,TextMention,3/22/21 20:58,Twitter,Arizona Coyotes,,Photo,,23173,16,249,4,,,,,,,,,0,,,,,1211,Positive,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1705,-562324624,Arizona Coyotes,TextMention,3/22/21 19:12,Twitter,Arizona Coyotes,,Photo,,50139,64,819,16,,,,,,,,,0,,,,,3246,Objective,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1704,1415435996,Arizona Coyotes,TextMention,3/22/21 18:49,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1703,2117042526,Arizona Coyotes,TextMention,3/22/21 18:34,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1702,-1604947320,Arizona Coyotes,TextMention,3/22/21 17:38,Twitter,Arizona Coyotes,,Photo,,5064,11,129,6,,,,,,,,,0,,,,,926,Objective,,"Social Owned,Coyotes Owned,Wallpaper Weds",,Coyotes Owned
1701,1184652340,Arizona Coyotes,TextMention,3/22/21 16:33,Twitter,Arizona Coyotes,,Photo,,23580,32,300,22,,,,,,,,,0,,,,,3360,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1700,-1326220790,Arizona Coyotes,TextMention,3/22/21 15:06,Twitter,Arizona Coyotes,,Text,,23995,10,120,1,,,,,,,,,0,,,,,1209,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1699,1000256152,Arizona Coyotes,TextMention,3/22/21 23:52,Twitter,Arizona Coyotes,,Photo,,39328,50,258,6,,,,,,,,,0,,,,,807,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1698,-1427782225,Arizona Coyotes,TextMention,3/22/21 23:04,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1697,-1045852841,Arizona Coyotes,TextMention,3/21/21 15:28,Twitter,Arizona Coyotes,,Text,,11338,7,78,0,,,,,,,,,0,,,,,291,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1696,552128889,Arizona Coyotes,TextMention,3/20/21 19:18,Twitter,Arizona Coyotes,,Text,,35853,42,522,17,,,,,,,,,0,,,,,2067,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1695,-1238901084,Arizona Coyotes,TextMention,3/20/21 17:07,Twitter,Arizona Coyotes,,Text,,1625,2,45,2,,,,,,,,,0,,,,,214,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1694,-1291741637,Arizona Coyotes,TextMention,3/20/21 16:58,Twitter,Arizona Coyotes,,Text,,30475,69,1209,19,,,,,,,,,0,,,,,3058,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1693,795019321,Arizona Coyotes,TextMention,3/20/21 16:55,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1692,205419484,Arizona Coyotes,TextMention,3/20/21 16:42,Twitter,Arizona Coyotes,,Photo,,20116,51,549,19,,,,,,,,,0,,,,,2788,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1691,-1341157534,Arizona Coyotes,TextMention,3/20/21 16:16,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1690,1610530510,Arizona Coyotes,TextMention,3/20/21 16:00,Twitter,Arizona Coyotes,,Text,,40659,90,690,29,,,,,,,,,0,,,,,3761,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1689,-1511985194,Arizona Coyotes,TextMention,3/20/21 3:06,Twitter,Arizona Coyotes,,Video,,40026,25,270,6,,11456,,,,,,,0,,,,,2283,Objective,11456,"Social Owned,Coyotes Owned,Geico,Enterprise","Banner Health,Enterprise,Geico","Coyotes Owned,Geico,Enterprise"
1688,212576495,Arizona Coyotes,TextMention,3/20/21 15:01,Twitter,Arizona Coyotes,,Text,,2966,1,17,0,,,,,,,,,0,,,,,71,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1687,492495936,Arizona Coyotes,TextMention,3/20/21 15:00,YouTube,Arizona Coyotes,THEY'RE BACK | Arizona Coyotes #ArizonaCoyotes #Coyotes #Yotes #NHL #Hockey   You asked. We answered. They're back.  Subscribe to the Arizona Coyotes YT Channel: youtube.com/c/ArizonaCoyotes/?sub_confirmation=1 For more Coyotes videos: https://www.youtube.com/c/ArizonaCoyotes/  Get the App: https://apple.co/3jxC1su For more Coyotes action: http://www.arizonacoyotes.com Sign up for our newsletter: https://www.nhl.com/coyotes/fans/email/ Like us on Facebook: https://www.facebook.com/ArizonaCoyotes Follow us on Twitter: https://twitter.com/ArizonaCoyotes Follow us on Instagram: https://www.instagram.com/arizonacoyo...,Video,https://www.youtube.com/watch?v=QljBkDkzwWo,317,,54,,10,317,,,,,,,0,,,,,64,Positive,317,"Social Owned,Coyotes Owned",,Coyotes Owned
1686,2017839435,Arizona Coyotes,TextMention,3/20/21 15:00,Twitter,Arizona Coyotes,,Video,,286516,450,2393,127,,99462,,,,,,,0,,,,,20315,Objective,99462,"Social Owned,Coyotes Owned",,Coyotes Owned
1685,-1816850030,Arizona Coyotes,TextMention,3/20/21 1:24,Twitter,Arizona Coyotes,,Photo,,26999,12,107,2,,,,,,,,,0,,,,,2795,Objective,,"Social Owned,Coyotes Owned",Mountain America Credit Union,Coyotes Owned
1684,995529062,Arizona Coyotes,TextMention,3/20/21 1:11,Twitter,Arizona Coyotes,,Video,,35419,12,296,4,,10508,,,,,,,0,,,,,2212,Objective,10508,"Social Owned,Coyotes Owned",,Coyotes Owned
1683,-512237108,Arizona Coyotes,TextMention,3/20/21 0:52,Twitter,Arizona Coyotes,,Photo,,23286,11,172,5,,,,,,,,,0,,,,,2312,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1682,557157217,Arizona Coyotes,TextMention,3/2/21 21:53,Twitter,Arizona Coyotes,,Text,,21179,17,151,1,,,,,,,,,0,,,,,1019,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1681,1152857958,Arizona Coyotes,TextMention,3/2/21 20:00,Twitter,Arizona Coyotes,,Text,,46556,21,124,2,,,,,,,,,0,,,,,1652,Objective,,"Social Owned,Coyotes Owned,Gila River",,"Coyotes Owned,Gila River"
1680,1932107851,Arizona Coyotes,TextMention,3/2/21 18:27,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1679,-2073722186,Arizona Coyotes,TextMention,3/2/21 17:02,Twitter,Arizona Coyotes,,Photo,,9379,10,142,4,,,,,,,,,0,,,,,601,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1678,-616021113,Arizona Coyotes,TextMention,3/2/21 16:09,Twitter,Arizona Coyotes,,Text,,18550,25,129,3,,,,,,,,,0,,,,,609,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1677,-1969942528,Arizona Coyotes,TextMention,3/19/21 21:43,Twitter,Arizona Coyotes,,Video,,101556,92,669,32,,16623,,,,,,,0,,,,,9606,Objective,16623,"Social Owned,Coyotes Owned",,Coyotes Owned
1676,-977576576,Arizona Coyotes,TextMention,3/19/21 17:12,Twitter,Arizona Coyotes,,Photo,,3931,11,74,6,,,,,,,,,0,,,,,205,Positive,,"Social Owned,Coyotes Owned,Gila River",,"Coyotes Owned,Gila River"
1675,1660850212,Arizona Coyotes,TextMention,3/18/21 17:31,Twitter,Arizona Coyotes,,Video,,6391,8,102,4,,1188,,,,,,,0,,,,,336,Positive,1188,"Social Owned,Coyotes Owned,Dignity Health","Dignity Health,Gila River,Medsupply,Mountain America Credit Union","Coyotes Owned,Dignity Health"
1674,-1704930956,Arizona Coyotes,TextMention,3/18/21 4:59,Twitter,Arizona Coyotes,,Video,,16531,24,261,8,,4875,,,,,,,0,,,,,1821,Objective,4875,"Social Owned,Coyotes Owned,Geico,Enterprise","Enterprise,Fry's,Geico,Gila River,Medsupply,Mountain America Credit Union","Coyotes Owned,Geico,Enterprise"
1673,-959234520,Arizona Coyotes,TextMention,3/18/21 4:40,Twitter,Arizona Coyotes,,Video,,30679,29,374,9,,9582,,,,,,,0,,,,,2853,Positive,9582,"Social Owned,Coyotes Owned,Geico,Dignity Health","Dignity Health,Geico,Gila River,Mountain America Credit Union","Coyotes Owned,Geico,Dignity Health"
1672,360128966,Arizona Coyotes,TextMention,3/18/21 4:36,Twitter,Arizona Coyotes,,Video,,17879,10,113,3,,5010,,,,,,,0,,,,,1275,Positive,5010,"Social Owned,Coyotes Owned,Geico,Dignity Health","Dignity Health,Geico,Gila River,Mountain America Credit Union","Coyotes Owned,Geico,Dignity Health"
1671,-659890279,Arizona Coyotes,TextMention,3/18/21 4:15,Twitter,Arizona Coyotes,,Photo,,61387,58,1048,17,,,,,,,,,0,,,,,5822,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1670,1129108420,Arizona Coyotes,TextMention,3/18/21 4:00,Twitter,Arizona Coyotes,,Text,,1707,0,5,0,,,,,,,,,0,,,,,15,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1669,1931170102,Arizona Coyotes,TextMention,3/18/21 3:54,Twitter,Arizona Coyotes,,Video,,466626,241,2149,62,,106014,,,,,,,0,,,,,19908,Positive,106014,"Social Owned,Coyotes Owned","Cintron World,Fry's,Gila River,Mountain America Credit Union",Coyotes Owned
1668,1349802434,Arizona Coyotes,TextMention,3/18/21 3:35,Twitter,Arizona Coyotes,,Photo,,14469,12,103,2,,,,,,,,,0,,,,,842,Objective,,"Social Owned,Coyotes Owned,Enterprise",Enterprise,"Coyotes Owned,Enterprise"
1667,171523716,Arizona Coyotes,TextMention,3/18/21 3:05,Twitter,Arizona Coyotes,,Video,,32929,22,185,4,,7807,,,,,,,0,,,,,1966,Positive,7807,"Social Owned,Coyotes Owned,Geico,Enterprise","Cintron World,Cox Communications,Enterprise,Fry's,Geico,Mountain America Credit Union","Coyotes Owned,Geico,Enterprise"
1666,-35022044,Arizona Coyotes,TextMention,3/18/21 2:30,Twitter,Arizona Coyotes,,Video,,14596,15,157,1,,3889,,,,,,,0,,,,,1485,Objective,3889,"Social Owned,Coyotes Owned",,Coyotes Owned
1665,66148144,Arizona Coyotes,TextMention,3/18/21 2:19,Twitter,Arizona Coyotes,,Photo,,39853,15,192,11,,,,,,,,,0,,,,,4397,Objective,,"Social Owned,Coyotes Owned",Mountain America Credit Union,Coyotes Owned
1664,568747146,Arizona Coyotes,TextMention,3/18/21 2:06,Twitter,Arizona Coyotes,,Text,,157,0,9,0,,,,,,,,,0,,,,,20,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1663,-1397258851,Arizona Coyotes,TextMention,3/18/21 2:06,Twitter,Arizona Coyotes,,Video,,17378,11,151,3,,4918,,,,,,,0,,,,,1054,Objective,4918,"Social Owned,Coyotes Owned,Dignity Health","Banner Health,Cintron World,Dignity Health,Fry's,Gila River,Mountain America Credit Union","Coyotes Owned,Dignity Health"
1662,1087496605,Arizona Coyotes,TextMention,3/18/21 1:14,Twitter,Arizona Coyotes,,Text,,95,0,1,1,,,,,,,,,0,,,,,6,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1661,-1801372143,Arizona Coyotes,TextMention,3/18/21 1:14,Twitter,Arizona Coyotes,,Photo,,37961,12,263,3,,,,,,,,,0,,,,,6308,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1660,1330162617,Arizona Coyotes,TextMention,3/18/21 23:44,Twitter,Arizona Coyotes,,Photo,,46297,24,498,10,,,,,,,,,0,,,,,5379,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1659,-108112778,Arizona Coyotes,TextMention,3/17/21 20:52,Twitter,Arizona Coyotes,,Photo,,23715,4,184,3,,,,,,,,,0,,,,,1999,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
